实体id,实体名称,预警指数,此次预警时间,最早预警时间,预警理由,集资模式,风险评级,业态类型,所属行业,问题平台,省份,城市,实体类别,实体来源,收益率,收益率大小所属分位点,担保承诺,煽动性广告数量,煽动性广告数所属分位点,负面舆情数量,负面舆情数所属分位点,诉讼记录数量,诉讼记录数所属分位点,经营异常数量,经营异常数所属分位点,赞成数,反对数
3194,玖富叮当,99.5,2018-04-15,2018-01-30,"收益率过高；
经营异常多；
",,不详,网络借贷,,无,广东,珠海,工司,数据库,36%,95%,3,7,55%,16,75%,0,不详,1,85%,0,3
2213,小猪理财,99.0,2018-04-15,2018-01-10,"收益率过高；
存在担保承诺；",直接借贷,小,网络借贷,金融业或类金融业,无,江西,南昌,平台,网贷之家,30%,95%,1,24,65%,4,75%,0,不详,0,不详,2,2
28552,德丰利达（北京）控股有限公司,99.0,2018-04-15,2018-03-11,"收益率过高；
存在担保承诺；",,不详,,,无,北京,朝阳,工司,人工导入,80%,95%,1,7,60%,8,55%,0,不详,0,不详,0,1
1730,齐鲁人贷,98.6429,2018-04-15,2018-01-10,"诉讼记录多；
收益率过高；
经营异常多；
",,不详,网络借贷,,提现困难,山东,青岛,平台,网贷之家,24%,90%,3,0,不详,22,30%,1,80%,1,85%,0,0
672,合泽财富,98.5,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,广东,广州,平台,网贷之家,32%,95%,3,0,不详,0,不详,0,不详,0,不详,0,0
261,爱钱进,98.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
收益率过高；
",,不详,网络借贷,,无,广东,深圳,平台,网贷之家,70%,95%,3,287,90%,89,95%,0,不详,0,不详,2,0
267,投哪网,98.0,2018-04-15,2018-01-30,"诉讼记录多；
煽动性广告多；
收益率过高；
经营异常多；
",无,不详,网络借贷,无,无,广东,深圳,平台,网贷之家,114%,95%,3,208,90%,15,不详,41,95%,1,85%,0,1
284,易通贷,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
经营异常多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,32%,95%,3,65,80%,4,45%,0,不详,1,85%,0,0
620,恒大金服,98.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
经营异常多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,81%,95%,3,133,85%,6,30%,0,不详,1,85%,0,0
629,鲤鱼理财,98.0,2018-04-15,2018-01-10,"收益率过高；
",null,小,网络借贷,无,无,上海,上海,平台,网贷之家,1300%,95%,3,2,不详,2,30%,0,不详,0,不详,1,0
905,宝象金融,98.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,平台,网贷之家,40%,95%,3,421,95%,38,85%,0,不详,0,不详,1,0
995,贸金所,98.0,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,上海,,平台,网贷之家,219%,95%,3,6,50%,1,45%,0,不详,0,不详,0,0
1125,雅堂金融,98.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
收益率过高；
",无,大,网络借贷,无,停业,广东,深圳,平台,网贷之家,60%,95%,3,9,85%,216,95%,0,不详,0,不详,1,0
2641,萨飞资本,98.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
",无,小,,无,无,上海,上海,平台,网贷之家,50%,95%,3,158,90%,2,30%,0,不详,0,不详,1,0
3732,金蛐蛐,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,工司,数据库,50%,95%,3,155,85%,0,不详,0,不详,0,不详,1,0
5500,叮叮理财,98.0,2018-04-15,2018-01-30,"收益率过高；
经营异常多；
",无,不详,网络借贷,无,无,浙江,杭州,工司,数据库,50%,95%,3,0,不详,0,不详,0,不详,1,85%,0,1
25034,私募排排网,98.0,2018-04-15,2018-01-30,"收益率过高；
",无,不详,互联网证券,无,无,广东,深圳,工司,数据库,40%,95%,3,35,75%,1,不详,0,不详,0,不详,0,1
25420,叮当贷,98.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
收益率过高；
",无,不详,网络借贷,无,无,北京,朝阳,工司,数据库,47%,95%,3,7,60%,19,85%,18,90%,0,不详,0,1
26495,多彩投,98.0,2018-04-15,2018-01-30,"收益率过高；
",众筹平台,不详,网络众筹,金融业或类金融业,无,北京,朝阳,工司,数据库,1095%,95%,3,24,70%,2,不详,0,不详,0,不详,1,1
534,冰融贷,97.9286,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,黑龙江,哈尔滨,平台,网贷之家,25%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
2111,柘家贷,97.6429,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,重庆,重庆,平台,网贷之家,24%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
4223,富宝,97.5,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
",,不详,第三方支付,,无,江西,鹰潭,工司,数据库,不详,不详,3,235,95%,171,90%,0,不详,0,不详,0,1
17596,吉林国际商品交易中心,97.5,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",无,大,交易所,无,无,山东,白山,工司,数据库,不详,不详,3,2,20%,76,80%,4,90%,0,不详,1,0
28629,善林（上海）商务咨询有限公司,97.5,2018-04-15,2018-03-11,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,,,,上海,上海,工司,人工导入,不详,不详,3,296,95%,412,95%,5,90%,0,不详,0,0
1159,微易贷,97.3714,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,湖北,武汉,平台,网贷之家,25%,85%,3,5,不详,5,不详,0,不详,0,不详,0,0
27291,丰盛金,97.2143,2018-04-15,2018-03-18,"收益率过高；
",,不详,网络借贷,,提现困难,江西,宜春,平台,网贷之家,23%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
18483,黄鹤金服,97.0714,2018-04-15,2018-03-18,"诉讼记录多；
收益率过高；
经营异常多；
",,不详,网络借贷,,终止运营,湖北,武汉,平台,网贷之家,22%,90%,3,0,不详,0,不详,7,90%,1,85%,0,0
923,凤凰金融,96.8571,2018-04-15,2018-01-10,"负面舆情多；
收益率过高；
",,小,互联网基金销售,,警方介入,北京,朝阳,平台,网贷之家,25%,90%,3,21,70%,91,95%,0,不详,0,不详,2,1
15494,蛙宝,96.8571,2018-04-15,2018-01-30,"负面舆情多；
收益率过高；
经营异常多；
",无,大,非法集资,无,无,江苏,南京,工司,数据库,25%,90%,3,11,70%,24,95%,0,不详,1,85%,1,0
18929,兴汇利,96.8571,2018-04-15,2018-01-30,"收益率过高；
","无,众筹",大,网络众筹,金融业或类金融业,无,湖北,荆门,工司,数据库,25%,90%,3,2,20%,0,不详,0,不详,0,不详,1,1
945,晋商贷,96.82,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,山西,太原,平台,网贷之家,23%,90%,3,35,70%,0,不详,0,不详,0,不详,0,0
746,好优贷,96.7857,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,江苏,南京,平台,网贷之家,21%,90%,3,3,20%,0,不详,0,不详,0,不详,0,0
2412,中国融信贷,96.6143,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,贵州,贵阳,平台,网贷之家,20%,90%,3,2,不详,5,不详,0,不详,0,不详,0,0
327,云信贷,96.5,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,河南,郑州,平台,网贷之家,20%,85%,3,3,30%,0,不详,0,不详,0,不详,0,0
14443,甬天投资,96.5,2018-04-15,2018-01-30,"收益率过高；
",,不详,网络借贷,,提现困难,上海,上海,工司,数据库,20%,85%,3,0,不详,0,不详,0,不详,0,不详,0,0
1920,拍拍贷,96.2857,2018-04-15,2018-01-10,"负面舆情多；
诉讼记录多；
煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,平台,网贷之家,24%,90%,3,180,90%,88,95%,12,90%,0,不详,1,0
25692,拍拍贷（粤）,96.2857,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
收益率过高；
",,不详,网络借贷,,,上海,上海,工司,数据库,24%,90%,3,187,90%,172,95%,12,90%,0,不详,0,0
1018,隆泰贷,96.08,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,浙江,宁波,平台,网贷之家,20%,85%,3,0,不详,0,不详,0,不详,0,不详,0,0
63,酷宝盒,96.0,2018-04-15,2018-03-18,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,网络借贷,,,江苏,南京,平台,网贷之家,11%,30%,3,32,80%,113,95%,2,85%,0,不详,0,0
101,钱罐子,96.0,2018-04-15,2018-03-25,"煽动性广告多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,不详,不详,3,177,95%,69,65%,0,不详,0,不详,0,0
147,金豆包,96.0,2018-04-15,2018-01-10,"负面舆情多；
",,不详,网络借贷,,提现困难,北京,北京,平台,网贷之家,10%,25%,3,7,55%,78,95%,0,不详,0,不详,0,0
271,翼龙贷,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,网络借贷,,无,北京,北京,平台,网贷之家,11%,30%,3,30,90%,142,95%,39,95%,1,85%,1,1
296,九斗鱼,96.0,2018-04-15,2018-04-08,暂无,,不详,网络借贷,,,北京,北京,平台,网贷之家,11%,30%,3,109,70%,129,不详,0,不详,0,不详,0,0
353,君来投,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,不详,不详,3,2,85%,105,95%,0,不详,0,不详,0,0
659,财富中国,96.0,2018-04-15,2018-01-30,"诉讼记录多；
煽动性广告多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,17%,75%,3,42,80%,98,不详,6,90%,0,不详,0,0
688,理财咖,96.0,2018-04-15,2018-03-18,"负面舆情多；
",,不详,网络借贷,,,江苏,苏州,平台,网贷之家,不详,不详,3,2,40%,61,95%,0,不详,0,不详,0,0
726,龙贷,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,11%,30%,3,51,90%,152,95%,0,不详,0,不详,0,0
895,可溯金融,96.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
",,不详,互联网资产管理,,,浙江,杭州,平台,网贷之家,10%,25%,3,225,90%,91,95%,0,不详,0,不详,1,0
1061,胖毛在线,96.0,2018-04-15,2018-03-18,"负面舆情多；
",,不详,互联网资产管理,,,福建,厦门,平台,网贷之家,不详,不详,3,5,75%,269,95%,0,不详,0,不详,0,0
1195,花果金融,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
经营异常多；
",,不详,网络借贷,,,北京,朝阳,平台,网贷之家,8%,30%,3,67,90%,51,90%,0,不详,1,85%,0,0
1877,点牛金融,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,互联网资产管理,,,上海,上海,平台,网贷之家,10%,25%,3,275,95%,76,95%,0,不详,0,不详,0,0
1929,小牛在线,96.0,2018-04-15,2018-03-18,"诉讼记录多；
煽动性广告多；
",,不详,互联网资产管理,,,广东,深圳,平台,网贷之家,10%,25%,3,205,85%,184,30%,24,95%,0,不详,0,0
2094,贷你盈,96.0,2018-04-15,2018-04-15,"诉讼记录多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,10%,20%,3,28,不详,70,75%,1,80%,0,不详,0,0
2139,今金贷,96.0,2018-04-15,2018-01-10,"负面舆情多；
",,不详,网络借贷,,,甘肃,兰州,平台,网贷之家,13%,60%,3,10,75%,51,90%,0,不详,0,不详,0,0
2815,包公有财,96.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,安徽,合肥,平台,网贷之家,10%,不详,3,229,85%,52,90%,0,不详,0,不详,0,0
2820,利创投,96.0,2018-04-15,2018-03-18,"负面舆情多；
煽动性广告多；
",,不详,互联网资产管理,,,广东,深圳,平台,网贷之家,不详,不详,3,43,80%,68,95%,0,不详,0,不详,0,0
13971,海华,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",无,不详,互联网资产管理,无,无,北京,朝阳,工司,数据库,不详,不详,3,212,90%,83,90%,3,85%,0,不详,0,1
14637,善林金融,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,互联网资产管理,,,上海,上海,工司,数据库,7%,不详,3,80,80%,205,95%,6,90%,0,不详,0,0
15808,捷信公司,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",,不详,网络借贷,,,天津,天津,工司,数据库,不详,不详,3,20,75%,136,95%,100,95%,0,不详,0,0
18926,泛亚有色金属交易所,96.0,2018-04-15,2018-01-30,"负面舆情多；
存在担保承诺；",,不详,交易所,,,贵州,贵阳,工司,数据库,不详,不详,1,1,35%,195,90%,0,不详,0,不详,0,0
19522,壹佰金,96.0,2018-04-15,2018-03-18,"煽动性广告多；
",,不详,互联网资产管理,,,辽宁,大连,工司,数据库,不详,不详,3,169,80%,44,30%,0,不详,0,不详,0,0
24643,大连再生资源交易所,96.0,2018-04-15,2018-01-30,"负面舆情多；
",无,大,交易所,无,无,上海,上海,工司,数据库,不详,不详,3,0,45%,87,95%,0,不详,0,不详,1,0
25517,合盘贷,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,网络借贷,,,上海,上海,工司,数据库,不详,不详,3,244,90%,160,90%,1,80%,0,不详,0,0
25549,e速贷,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,网络借贷,,,广东,惠州,平台,网贷之家,14%,60%,3,4,80%,145,95%,1,80%,1,85%,0,0
25829,智付,96.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,大,第三方支付,,无,广东,深圳,工司,数据库,不详,不详,3,47,90%,55,90%,8,90%,0,不详,1,0
28547,云联惠,96.0,2018-04-15,2018-03-11,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,互联网+X,,警方介入,广东,广州,工司,人工导入,不详,不详,3,464,95%,95,95%,34,95%,1,85%,0,0
28771,善林（上海）信息科技有限公司,95.5,2018-04-15,2018-03-11,"负面舆情多；
煽动性广告多；
",,不详,,,,上海,上海,工司,人工导入,不详,不详,3,285,95%,451,95%,0,不详,0,不详,0,0
1991,工程惠贷,95.2857,2018-04-15,2018-01-10,"负面舆情多；
收益率过高；
",无,小,网络借贷,无,无,湖南,长沙,平台,网贷之家,21%,90%,3,0,30%,8,90%,0,不详,0,不详,1,0
1650,开开贷,95.205,2018-04-15,2018-01-10,"诉讼记录多；
收益率过高；
",,不详,网络借贷,,提现困难,山东,青岛,平台,网贷之家,19%,85%,3,1,不详,0,不详,64,95%,0,不详,0,0
2178,众储财富,95.0429,2018-04-15,2018-01-10,"收益率过高；
",,不详,互联网资产管理,,,浙江,宁波,平台,网贷之家,20%,90%,3,34,65%,36,不详,0,不详,0,不详,0,0
283,壹佰金融,95.0,2018-04-15,2018-03-18,"煽动性广告多；
经营异常多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,10%,15%,3,168,80%,43,30%,0,不详,1,85%,0,0
21056,交易猫,95.0,2018-04-15,2018-01-30,"负面舆情多；
",,不详,交易所,,,广东,广州,工司,数据库,不详,不详,3,759,55%,41,90%,0,不详,0,不详,0,0
1910,可投可贷（鲁）,94.75,2018-04-15,2018-01-31,"收益率过高；
",,不详,,,,四川,成都,平台,网贷之家,19%,85%,3,0,不详,0,不详,0,不详,0,不详,0,0
2103,满满贷,94.05,2018-04-15,2018-01-10,"收益率过高；
经营异常多；
",,不详,网络借贷,,提现困难,湖南,长沙,平台,网贷之家,19%,85%,3,2,不详,2,不详,0,不详,1,85%,0,0
5316,七匹狼,94.0,2018-04-15,2018-01-30,"诉讼记录多；
煽动性广告多；
收益率过高；
经营异常多；
",,不详,互联网资产管理,,,福建,,工司,数据库,20%,85%,3,796,95%,1,不详,100,95%,1,85%,0,0
27444,汇添富,94.0,2018-04-15,2018-01-30,"诉讼记录多；
煽动性广告多；
收益率过高；
",,小,互联网基金销售,,无,上海,上海,工司,数据库,20%,85%,3,202,85%,0,不详,2,85%,0,不详,1,0
27717,仁和融兴,94.0,2018-04-15,2018-03-18,"收益率过高；
",,不详,网络借贷,,提现困难,山东,青岛,平台,网贷之家,20%,85%,3,0,不详,0,不详,0,不详,0,不详,0,0
171,稳贷网,93.96,2018-04-15,2018-01-30,"负面舆情多；
收益率过高；
",null,大,网络借贷,无,无,广东,佛山,平台,网贷之家,19%,85%,3,3,70%,18,85%,0,不详,0,不详,1,0
941,聚宝匯,93.8571,2018-04-15,2018-03-18,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,不详,不详,3,151,90%,41,95%,0,不详,0,不详,0,0
1901,法汇贷,93.8571,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,不详,不详,3,2,80%,92,95%,0,不详,0,不详,0,0
22481,金融桥,93.725,2018-04-15,2018-01-30,"收益率过高；
",,不详,网络借贷,,,湖南,长沙,平台,网贷之家,19%,85%,3,0,不详,1,30%,0,不详,0,不详,0,0
200,狮子座金融,93.5,2018-04-15,2018-01-10,"负面舆情多；
收益率过高；
",,不详,网络借贷,,,广东,佛山,平台,网贷之家,20%,85%,3,3,60%,12,80%,0,不详,0,不详,1,0
1866,普天金安,93.2857,2018-04-15,2018-01-10,"负面舆情多；
",,不详,网络借贷,,提现困难,北京,北京,平台,网贷之家,8%,5%,3,24,50%,57,90%,0,不详,0,不详,0,0
567,投融贷,93.2,2018-04-15,2018-01-10,"诉讼记录多；
收益率过高；
",,不详,网络借贷,,提现困难,上海,上海,平台,网贷之家,18%,85%,3,0,不详,0,不详,10,90%,0,不详,0,0
2583,川信贷,93.0,2018-04-15,2018-01-10,暂无,,不详,网络借贷,,提现困难,四川,成都,平台,网贷之家,18%,75%,3,0,35%,0,不详,0,不详,0,不详,0,0
26363,坤一金融,93.0,2018-04-15,2018-01-30,暂无,,不详,网络借贷,,提现困难,安徽,合肥,平台,网贷之家,18%,75%,3,0,不详,0,不详,0,不详,0,不详,0,0
27047,易小贷,93.0,2018-04-15,2018-01-30,"经营异常多；
",,不详,网络借贷,,良性退出,山东,济宁,平台,网贷之家,18%,75%,3,0,不详,0,不详,0,不详,1,85%,0,0
27500,理财乐,92.5,2018-04-15,2018-01-30,暂无,,不详,网络借贷,,终止运营,广东,深圳,平台,网贷之家,18%,75%,3,4,不详,0,不详,0,不详,0,不详,0,0
167,金蜂财富,92.1429,2018-04-15,2018-03-25,暂无,,不详,网络借贷,,,上海,上海,平台,网贷之家,11%,35%,3,25,65%,41,45%,0,不详,0,不详,0,0
2264,亚太投资,91.5,2018-04-15,2018-01-10,"诉讼记录多；
收益率过高；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,20%,85%,3,2,不详,1,不详,2,85%,0,不详,0,0
660,邦融汇,91.0,2018-04-15,2018-03-18,"负面舆情多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,不详,不详,3,20,75%,36,90%,0,不详,0,不详,0,0
1637,青蚨在线,91.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,上海,上海,平台,网贷之家,不详,不详,3,15,80%,36,90%,0,不详,0,不详,0,0
1860,利盈贷,91.0,2018-04-15,2018-01-10,暂无,,不详,网络借贷,,,贵州,贵阳,平台,网贷之家,18%,75%,3,0,不详,0,不详,0,不详,0,不详,0,0
1306,中鼎在线,90.9,2018-04-15,2018-01-10,"诉讼记录多；
",,不详,网络借贷,,提现困难,福建,泉州,平台,网贷之家,17%,75%,3,0,不详,0,不详,7,90%,0,不详,0,0
647,51如易贷,90.5,2018-04-15,2018-04-08,暂无,,不详,网络借贷,,,山东,临沂,平台,网贷之家,18%,10%,3,0,不详,0,不详,0,不详,0,不详,0,0
17035,融乐,90.4286,2018-04-15,2018-01-30,"负面舆情多；
",无,不详,网络借贷,无,无,重庆,重庆,工司,数据库,不详,不详,3,26,75%,43,90%,0,不详,0,不详,0,1
22449,神州买买车,90.4286,2018-04-15,2018-01-30,"负面舆情多；
",,不详,网络借贷,,,福建,,工司,数据库,不详,不详,3,30,65%,39,80%,0,不详,0,不详,0,0
1412,金鲤金服,90.2143,2018-04-15,2018-01-10,"煽动性广告多；
经营异常多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,不详,不详,3,0,85%,22,70%,0,不详,1,85%,0,0
17152,车贷网,90.2143,2018-04-15,2018-04-15,暂无,,不详,网络借贷,,,上海,,工司,数据库,不详,不详,3,11,20%,21,不详,0,不详,0,不详,0,0
1266,甬利财富,90.0,2018-04-15,2018-01-10,暂无,,不详,网络借贷,,,浙江,宁波,平台,网贷之家,18%,75%,3,0,不详,0,不详,0,不详,0,不详,0,0
2285,易金融,89.8571,2018-04-15,2018-01-10,暂无,,不详,网络借贷,,,辽宁,沈阳,平台,网贷之家,7%,不详,3,42,75%,49,65%,0,不详,0,不详,0,0
25399,佰仟金融,89.8571,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
经营异常多；
",无,大,互联网消费金融,无,无,广东,深圳,工司,数据库,不详,不详,3,6,70%,72,90%,57,95%,1,85%,1,0
310,百金贷,89.2857,2018-04-15,2018-03-18,"煽动性广告多；
",,不详,互联网消费金融,,,北京,北京,平台,网贷之家,10%,20%,3,292,90%,43,55%,0,不详,0,不详,0,0
25349,买单侠,89.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",,小,互联网消费金融,金融业或类金融业,涉嫌欺诈、高利贷,上海,上海,工司,数据库,不详,不详,3,6,45%,43,95%,3,85%,0,不详,1,1
1124,知合金服,88.7143,2018-04-15,2018-01-10,"负面舆情多；
",,不详,网络借贷,,预警,浙江,杭州,平台,网贷之家,10%,20%,3,140,55%,33,95%,0,不详,0,不详,0,0
3952,恒日升,88.7143,2018-04-15,2018-04-15,暂无,,不详,互联网证券,,无,广东,深圳,工司,数据库,不详,不详,3,0,不详,32,不详,0,不详,0,不详,0,1
1179,鑫脉财富,88.4571,2018-04-15,2018-01-10,"收益率过高；
经营异常多；
",,不详,网络借贷,,,山东,滨州,平台,网贷之家,22%,90%,3,0,30%,4,55%,0,不详,1,85%,0,0
2825,伽满优,88.1429,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,预警,上海,上海,平台,网贷之家,不详,不详,3,217,90%,46,85%,0,不详,0,不详,0,0
9311,好点金融,88.1429,2018-04-15,2018-04-08,暂无,,不详,网络借贷,,,湖南,株洲,工司,数据库,不详,不详,3,29,不详,14,不详,0,不详,0,不详,0,0
13351,小牛分期,87.8571,2018-04-15,2018-03-18,暂无,,不详,互联网消费金融,,无,广东,深圳,工司,数据库,不详,不详,3,0,30%,12,不详,0,不详,0,不详,0,1
3593,融易通,87.7143,2018-04-15,2018-03-25,暂无,,不详,互联网期货,,,,,工司,数据库,不详,不详,3,0,不详,14,不详,0,不详,0,不详,0,0
15,钱眼金融,87.5714,2018-04-15,2018-03-18,暂无,,不详,网络借贷,,,广东,深圳,平台,网贷之家,不详,不详,3,12,50%,39,70%,0,不详,0,不详,0,0
8545,泛亚金融,87.5714,2018-04-15,2018-01-30,"负面舆情多；
",,不详,互联网资产管理,,,广东,深圳,工司,数据库,不详,不详,3,0,20%,10,95%,0,不详,0,不详,0,0
22927,钱富宝,87.5714,2018-04-15,2018-03-25,"经营异常多；
",,不详,互联网资产管理,,,广东,深圳,工司,数据库,不详,不详,3,17,55%,49,不详,0,不详,1,85%,0,0
27953,中和农信,87.5714,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",,不详,网络借贷,,,北京,北京,工司,数据库,不详,不详,3,25,60%,30,85%,70,95%,0,不详,0,0
10399,通贷,87.4286,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
",,不详,网络借贷,,,福建,,工司,数据库,不详,不详,3,289,90%,16,80%,0,不详,0,不详,0,0
17304,投融界,87.2857,2018-04-15,2018-01-30,"煽动性广告多；
",,不详,网络借贷,,,浙江,杭州,工司,数据库,不详,不详,3,37,80%,10,65%,0,不详,0,不详,0,0
20499,我房贷,87.0714,2018-04-15,2018-04-15,暂无,直接借贷,大,网络借贷,,无,海南,海口,工司,数据库,不详,不详,3,1,35%,10,55%,0,不详,0,不详,1,0
1811,金牌理财,87.0,2018-04-15,2018-01-10,"煽动性广告多；
",直接借贷,小,网络借贷,金融业或类金融业,无,河南,郑州,平台,网贷之家,18%,75%,3,13,80%,5,65%,0,不详,0,不详,1,0
2030,小九金服,87.0,2018-04-15,2018-01-10,"煽动性广告多；
",直接借贷,小,网络借贷,金融业或类金融业,无,浙江,杭州,平台,网贷之家,18%,75%,3,91,80%,0,不详,0,不详,0,不详,1,0
28587,善林（上海）金融服务信息有限公司,86.5,2018-04-15,2018-03-11,"负面舆情多；
煽动性广告多；
",,不详,,,,,,工司,人工导入,不详,不详,3,275,95%,451,95%,0,不详,0,不详,0,0
638,信而富,86.4286,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,小,网络借贷,金融业或类金融业,无,上海,上海,平台,网贷之家,11%,30%,3,48,90%,49,95%,82,95%,0,不详,1,0
1988,有融网,86.4286,2018-04-15,2018-03-18,"煽动性广告多；
",,不详,互联网资产管理,,,浙江,杭州,平台,网贷之家,12%,40%,3,310,95%,35,30%,0,不详,0,不详,0,0
13932,汇中,86.4286,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
经营异常多；
",,不详,互联网资产管理,,,北京,北京,工司,数据库,不详,不详,3,191,80%,50,90%,1,80%,1,85%,0,0
376,易人金服,85.8571,2018-04-15,2018-03-18,暂无,直接借贷,大,网络借贷,金融业或类金融业,平台失联,福建,泉州,平台,网贷之家,不详,不详,3,0,不详,28,不详,0,不详,0,不详,1,0
1894,国信贷,85.8571,2018-04-15,2018-04-15,"煽动性广告多；
",直接借贷,大,网络借贷,金融业或类金融业,无,北京,北京,平台,网贷之家,11%,35%,3,222,90%,27,75%,0,不详,0,不详,1,0
14950,盛钱包,85.7857,2018-04-15,2018-01-30,存在担保承诺；,,不详,第三方支付,,无,广东,深圳,工司,数据库,不详,不详,2,31,65%,9,75%,0,不详,0,不详,1,1
324,得利宝,85.75,2018-04-15,2018-01-10,"煽动性广告多；
经营异常多；
",投资理财,大,,金融业或类金融业,无,广东,深圳,平台,网贷之家,15%,65%,3,68,80%,0,不详,0,不详,1,85%,1,0
509,睿信贷,85.75,2018-04-15,2018-01-10,暂无,直接借贷,小,网络借贷,金融业或类金融业,警方介入,河南,濮阳,平台,网贷之家,15%,65%,3,0,不详,0,不详,0,不详,0,不详,1,0
24824,龙宝斋,85.75,2018-04-15,2018-02-25,暂无,,不详,网络借贷,,无,北京,北京,平台,网贷之家,15%,65%,3,0,20%,0,不详,0,不详,0,不详,0,1
24924,金猫微贷,85.75,2018-04-15,2018-01-30,暂无,直接借贷,小,网络借贷,金融业或类金融业,无,河南,郑州,平台,网贷之家,15%,65%,3,0,不详,0,不详,0,不详,0,不详,1,0
28504,汇盈财富,85.75,2018-04-15,2018-02-25,暂无,,不详,,,,,,平台,网贷之家,15%,65%,3,0,不详,0,不详,0,不详,0,不详,0,0
